path,label,label_id
/content/khana/khana/garlic bread/ywbc7hfejiay30y5ikxr,garlic bread,26
/content/khana/khana/aloo paratha/m6geqexu461d2ysw3vdg,aloo paratha,3
/content/khana/khana/uttapam/hsyxncpvcicvjionhd9a,uttapam,78
/content/khana/khana/paneer masala/szpvtml5xrpuftqzk7qt,paneer masala,53
/content/khana/khana/paneer masala/fhjezxnpyixcwssyxewh,paneer masala,53
/content/khana/khana/chicken pizza/tkqppybzp6my208qp5hk,chicken pizza,15
/content/khana/khana/vada pav/dm180k19yuf2rtkc2vsh,vada pav,79
/content/khana/khana/masala papad/c03f6ff5e2ec37da8d0d89d44fa447f1,masala papad,42
/content/khana/khana/poha/y5zussi3eajqjhzyiaov,poha,62
/content/khana/khana/aloo paratha/dry43lh1y3o7sgf7gjps,aloo paratha,3
/content/khana/khana/anda curry/njjttn7ruvynbicn5y6u,anda curry,5
/content/khana/khana/kheer/blpndonigc3tapkcpjwn,kheer,38
/content/khana/khana/thukpa/gooszosws6zjaavryvhc,thukpa,77
/content/khana/khana/garlic bread/sjngkl7mtyh7yf1ui6kc,garlic bread,26
/content/khana/khana/idli/ewedbb8se6aqn330qpnl,idli,34
/content/khana/khana/anda curry/pikfvsyqjq0xk9evoenf,anda curry,5
/content/khana/khana/seekh kebab/evh3rquasjtyqkkqqgod,seekh kebab,71
/content/khana/khana/samosa/zfgqqucony1vvtdqky1a,samosa,70
/content/khana/khana/kulfi/t313ue4zgqtu3zughcks,kulfi,39
/content/khana/khana/uttapam/btcayqitogm4ao8f3x4w,uttapam,78
/content/khana/khana/garlic naan/413d5a5f60923fe46bc5c35fb3a2a423,garlic naan,27
/content/khana/khana/vada pav/nasguay6cre5njtsfghw,vada pav,79
/content/khana/khana/kulfi/ztow0qnekmkwtv59rr1j,kulfi,39
/content/khana/khana/masala dosa/oif91chnmznvuefir5kc,masala dosa,41
/content/khana/khana/samosa/rihzps7vllyxaahjftup,samosa,70
/content/khana/khana/masala dosa/10961baf65141658dfaecd1c797e4eab,masala dosa,41
/content/khana/khana/anda curry/md6sw6cbqpp2mn926khc,anda curry,5
/content/khana/khana/hara bhara kabab/u1p6k6nwckdfscfoiuuv,hara bhara kabab,32
/content/khana/khana/paneer masala/cnvocf5jz5yn0lu6ornj,paneer masala,53
/content/khana/khana/biryani/pmqi7n5kyifyhjczhopr,biryani,10
/content/khana/khana/papdi chaat/r93pvv42fqwqbnejtqgp,papdi chaat,57
/content/khana/khana/pav bhaji/qcrtevh1tsoszkkhacec,pav bhaji,59
/content/khana/khana/vada pav/frq0pwwjt1hc3pbxfqt4,vada pav,79
